country,surveyelapse,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,operatingsystem,browser,screenw,screenh,introelapse,testelapse,extroversion,neuroticism,agreeableness,conscientiousness,openness,grit,vocabulary
US,92,2,2,male,1,22,left,6,4,white or indigenous,no,never,2,Macintosh,Chrome,1280,800,852,163,-3,17,10,6,32,-2,10
US,108,2,2,female,1,18,right,9,1,white or indigenous,yes,never,2,Macintosh,Chrome,1440,900,4,110,3,21,17,1,23,-2,12
FI,159,3,1,male,2,27,right,1,1,white or indigenous,yes,never,2,Linux,Chrome,360,640,11,141,-11,10,16,9,25,0,9
US,200,2,3,female,1,20,right,2,5,black,no,never,3,iOS,Safari,320,568,5,193,-14,9,-3,12,29,3,9
CZ,217,3,1,female,2,24,right,1,2,white or indigenous,no,never,2,Windows,Firefox,1440,900,14,261,-1,16,11,5,25,-6,12
IN,168,2,3,male,2,18,right,8,5,asian,no,never,1,Linux,Firefox,1366,768,9,167,5,16,14,10,18,-11,2
MY,227,3,1,male,2,26,right,10,1,black,no,never,4,Windows,Chrome,1366,768,79,328,0,22,8,9,20,1,7
US,189,2,1,male,1,21,right,7,1,white or indigenous,yes,never,2,Macintosh,Chrome,1280,800,85,234,12,19,20,5,27,-4,1
NO,215,3,2,male,2,25,right,2,1,white or indigenous,yes,never,2,Windows,Chrome,1366,768,367,249,10,8,15,15,21,-8,10
IN,167,3,2,female,2,24,right,12,1,asian,yes,never,2,Windows,Chrome,1366,768,17,197,3,16,19,17,16,-10,10
RO,150,3,1,male,2,44,right,2,1,white or indigenous,yes,never,2,Windows,Chrome,1280,1024,23,165,-3,10,16,4,24,5,9
US,129,2,3,female,1,19,right,4,1,white or indigenous,yes,never,2,Windows,Chrome,1920,1080,2,406,3,13,11,10,16,-11,5
AE,174,3,1,female,2,44,right,6,2,asian,no,previously,3,Windows,Chrome,1280,1024,4,212,-1,22,17,3,16,6,4
US,126,2,2,female,1,18,right,4,1,white or indigenous,no,never,3,iOS,ChromeiOS,768,1024,6,148,-9,34,17,-1,26,8,3
US,99,2,1,female,1,18,right,4,1,asian,no,never,3,Macintosh,Chrome,1280,800,4,105,-9,24,16,12,24,2,9
IN,274,4,3,female,2,25,right,8,1,asian,yes,currently,3,Windows,Chrome,1366,768,8,244,-5,24,17,9,17,-15,8
SG,288,1,3,female,1,15,right,7,1,asian,no,never,3,iOS,Safari,320,568,103,191,11,-2,24,-8,16,16,5
US,161,2,3,male,2,21,left,1,1,arab,no,never,2,iOS,ChromeiOS,320,568,21,191,15,27,8,-8,26,8,9
GB,88,2,3,male,1,23,left,7,1,white or indigenous,no,currently,6,Windows,Chrome,1360,768,716,96,21,26,26,26,32,-8,9
PK,202,3,3,female,2,20,right,10,4,asian,no,never,4,Linux,Chrome,360,640,12,159,-15,16,13,4,5,7,6
BG,169,2,3,male,2,20,right,12,2,white or indigenous,no,never,1,Windows,Chrome,1366,768,10,205,9,1,17,12,28,-3,10
US,142,2,2,female,1,16,right,1,1,white or indigenous,no,never,3,Windows,Microsoft Internet Explorer,1366,768,70,246,-8,32,22,-3,23,0,7
BH,395,3,3,female,2,20,left,10,0,arab,no,never,4,iOS,Safari,375,667,8,202,0,26,18,23,23,-15,5
US,208,1,1,female,2,15,right,10,5,other,no,never,5,Unknown,UCBrowser,800,600,10,248,-8,21,9,9,12,1,5
CA,212,2,0,male,1,21,right,2,1,white or indigenous,no,never,1,Windows,Chrome,1366,768,10,176,-13,17,7,-3,29,5,10
GB,104,3,2,female,1,30,right,7,1,white or indigenous,no,currently,4,Windows,Microsoft Internet Explorer,1170,936,76,122,-1,14,17,16,19,-16,12
IN,163,4,3,male,2,28,right,8,1,asian,yes,never,2,Windows,Firefox,1366,768,339,65058,17,8,22,11,21,-6,10
EU,204,3,2,female,1,35,right,7,1,white or indigenous,yes,never,2,Windows,Chrome,1366,768,33,271,2,28,17,9,30,-2,5
PH,408,2,3,male,2,16,right,2,3,asian,no,never,2,iOS,Safari,320,480,68,564,-12,35,-13,22,31,-15,7
NA,203,3,2,male,2,43,both,2,1,white or indigenous,no,never,4,Windows,Firefox,1920,1200,20,185,-12,19,17,13,25,-13,5
CN,109,2,3,female,2,19,right,7,1,black,no,never,2,Macintosh,Safari,1280,800,1161,178,-8,9,19,-1,9,-5,8
PK,162,2,3,male,2,15,right,10,1,other,no,never,2,Windows,Chrome,1920,1080,34,253,2,21,4,5,3,-6,8
NL,154,2,1,male,2,34,right,12,1,white or indigenous,no,never,1,Windows,Chrome,1600,900,7,197,10,11,16,8,28,5,7
ZA,491,3,3,male,1,36,right,1,1,white or indigenous,yes,currently,3,Windows,Chrome,1600,900,57,225,-3,25,5,8,20,9,9
US,207,4,0,female,2,47,right,1,1,other,yes,currently,3,Windows,Chrome,1920,1080,12,786,11,12,11,24,19,-17,12
US,132,2,1,female,1,19,left,4,2,other,no,never,3,Macintosh,Safari,1280,800,32,185,-15,34,10,19,4,-7,7
SE,130,3,1,male,2,22,left,12,1,white or indigenous,yes,never,1,Macintosh,Chrome,2560,1440,5,161,6,35,8,6,31,4,9
PK,283,2,3,female,2,14,right,10,2,other,no,never,4,iOS,Safari,320,480,8,312,-9,10,12,-6,32,14,7
DK,166,3,2,female,2,25,right,2,1,white or indigenous,no,never,1,Macintosh,Chrome,1280,800,13,251,10,34,18,13,25,8,9
IN,1317,4,3,female,1,26,right,1,1,asian,no,never,3,Macintosh,Chrome,1280,800,18,203,-1,30,11,-4,24,4,12
BH,326,3,3,female,2,19,right,10,1,arab,no,never,7,Windows,Chrome,1600,900,73,265,14,22,19,14,22,-13,7
RO,299,3,3,female,2,25,right,12,5,other,yes,never,3,Windows,Chrome,1366,768,13,276,-1,15,15,7,16,-1,7
SG,175,3,2,female,1,41,right,4,1,white or indigenous,yes,never,8,Macintosh,Safari,1280,800,913,295,-10,25,19,13,8,-11,10
PK,541,4,3,male,2,23,right,10,2,asian,yes,never,5,Windows,Firefox,1366,768,5,534,9,13,13,13,18,-6,6
AU,188,1,2,female,1,15,right,2,5,white or indigenous,no,never,3,Windows,Chrome,1366,768,5,206,9,16,19,11,21,-3,1
US,149,3,2,male,1,43,right,1,3,white or indigenous,no,never,2,Macintosh,Chrome,1440,900,7,162,0,33,10,4,24,-3,13
US,194,2,2,female,1,16,right,6,1,white or indigenous,no,never,4,iOS,Safari,320,568,8,234,-11,21,5,9,18,-1,8
IN,380,4,3,male,2,23,right,10,1,asian,no,never,4,Windows,Opera,1366,768,14,241,15,24,23,10,24,1,7
RO,165,2,2,male,2,17,right,4,1,white or indigenous,no,never,1,Windows,Chrome,1920,1080,23,234,14,12,11,19,20,-12,10
SG,138,4,3,female,2,49,right,2,1,white or indigenous,no,currently,1,Macintosh,Firefox,1440,900,9,217,11,10,26,23,20,-22,7
US,142,2,3,female,1,18,right,4,1,white or indigenous,no,never,3,Windows,Microsoft Internet Explorer,1366,768,6,156,-20,36,8,19,8,5,7
US,150,2,3,male,1,18,right,4,1,white or indigenous,no,never,2,Windows,Microsoft Internet Explorer,1366,768,8,266,-8,21,18,6,19,6,9
GB,117,2,2,male,1,24,right,1,1,white or indigenous,no,never,5,Windows,Microsoft Internet Explorer,1280,1024,14,215,2,23,9,2,24,4,8
IT,205,4,2,male,2,38,right,2,1,white or indigenous,no,never,1,Windows,Firefox,1280,800,18,350,0,22,18,3,28,2,10
US,105,2,3,female,1,18,right,4,1,white or indigenous,no,never,3,Windows,Microsoft Internet Explorer,1366,768,7,134,-14,21,15,22,12,-1,8
GB,378,2,3,female,1,52,left,4,1,white or indigenous,yes,currently,4,iOS,Safari,768,1024,40,318,5,22,16,7,24,3,6
GB,213,3,2,female,1,23,right,4,1,white or indigenous,no,never,2,Windows,Chrome,1366,768,254,161,-2,18,16,10,20,-10,6
AR,227,2,3,female,2,25,left,2,1,white or indigenous,yes,never,4,Windows,Chrome,1366,768,5,266,1,32,5,0,22,14,10
US,222,4,3,female,2,40,right,8,0,asian,no,currently,4,Windows,Chrome,1366,768,56,384,4,18,15,22,11,-18,9
US,111,4,3,female,2,30,left,6,1,asian,yes,never,2,Macintosh,Safari,1440,900,10,162,5,8,19,9,23,-10,13
IN,213,4,3,female,2,25,right,8,1,asian,yes,never,2,Windows,Chrome,1366,768,4,241,18,22,22,9,22,9,5
US,162,4,1,female,1,62,right,6,1,white or indigenous,yes,currently,6,Windows,Microsoft Internet Explorer,1280,720,5,236,6,10,19,15,21,-8,10
US,103,2,1,male,1,19,left,2,1,white or indigenous,no,never,4,ChromeOS,Chrome,1280,800,3,147,11,33,12,-12,22,22,10
US,128,2,2,female,1,18,right,6,1,white or indigenous,no,never,3,ChromeOS,Chrome,1366,768,5,172,9,16,23,19,24,-8,10
US,193,3,3,female,1,23,right,7,1,white or indigenous,no,never,2,Macintosh,Chrome,1280,800,14,211,-1,26,14,6,16,-5,9
US,159,2,2,male,1,18,right,2,1,white or indigenous,no,never,4,ChromeOS,Chrome,1366,768,5,173,2,8,13,9,25,-7,6
PH,213,2,3,female,2,17,right,4,1,asian,no,never,3,Windows,Chrome,1360,768,16,156,-5,31,8,8,22,-5,5
US,375,2,3,female,1,16,right,4,1,asian,no,never,1,Windows,Chrome,1366,768,5,419,2,21,10,1,11,1,9
IT,290,2,3,male,2,34,right,2,1,white or indigenous,yes,never,2,Windows,Chrome,1024,768,3,308,-8,29,2,6,25,-2,12
EG,197,2,3,male,2,20,right,7,1,arab,yes,never,2,Windows,Chrome,1366,768,6,370,10,7,11,23,15,-8,9
US,213,3,2,male,2,34,right,8,1,asian,yes,currently,4,Linux,Chrome,360,640,10,208,-4,15,8,10,17,-7,10
PL,338,4,1,male,2,23,right,4,1,white or indigenous,yes,never,2,Windows,Firefox,1600,900,4,270,7,2,16,17,26,-9,6
US,315,4,3,female,2,25,right,6,1,asian,no,currently,1,Macintosh,Safari,1280,800,7,315,0,12,20,14,25,-15,8
IN,247,4,1,male,2,26,right,8,1,asian,yes,never,3,Windows,Chrome,1366,768,30,200,-6,19,9,18,23,-1,9
US,104,2,2,female,1,17,right,12,1,white or indigenous,no,never,2,ChromeOS,Chrome,1366,768,12,120,8,15,22,11,22,-8,7
LU,133,4,3,female,2,31,right,7,1,white or indigenous,yes,currently,2,Windows,Firefox,1920,1080,13,199,4,23,16,15,22,-2,12
GB,99,2,3,female,1,17,right,9,1,white or indigenous,no,never,7,Windows,Chrome,1920,1080,7,1252,-9,20,16,2,22,-9,11
NP,302,3,3,male,2,24,right,8,1,asian,no,never,2,Windows,Chrome,1366,768,7846,430,-4,29,19,10,16,-4,8
SG,160,4,2,male,2,48,right,12,1,white or indigenous,no,never,2,Windows,Chrome,1920,1080,14,183,1,18,18,11,21,-11,13
KE,200,3,3,female,2,20,right,6,0,black,no,never,2,Windows,Firefox,1280,1024,8,260,17,10,26,15,22,-13,10
US,187,2,3,male,2,18,right,2,1,asian,no,never,2,Macintosh,Chrome,1920,1080,28,313,-6,8,9,5,19,-2,6
BH,234,3,2,female,2,22,right,8,1,other,no,never,0,Windows,Chrome,1366,768,88,236,2,5,26,8,27,2,10
US,225,2,3,female,1,18,right,7,1,white or indigenous,no,never,1,Macintosh,Chrome,1920,1080,3,299,-4,29,20,5,15,-6,10
GB,182,2,1,female,1,16,right,1,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,4,293,-5,33,17,7,16,0,9
GB,175,2,1,female,1,16,right,12,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,2,408,4,35,19,9,18,5,9
US,160,2,2,male,1,18,right,2,1,white or indigenous,no,never,4,Macintosh,Chrome,1920,1080,15,303,-6,22,10,10,12,11,9
US,143,3,2,female,1,25,right,4,1,white or indigenous,yes,never,2,iOS,Safari,375,667,2,139,0,13,16,5,21,-4,4
US,201,1,2,female,1,17,right,7,1,white or indigenous,no,never,2,Macintosh,Chrome,1920,1080,5,223,-9,11,5,4,26,-7,3
US,116,2,2,female,1,18,right,6,1,white or indigenous,no,never,3,Macintosh,Chrome,1920,1080,6,368,7,30,23,0,26,4,6
HK,154,4,3,female,1,33,right,1,1,asian,no,never,2,iOS,Safari,375,667,7,230,-2,34,24,11,21,-11,9
US,127,2,2,female,1,18,right,1,1,white or indigenous,no,never,4,Macintosh,Chrome,1920,1080,57,323,1,16,0,3,24,-2,6
GB,87,3,2,male,1,34,right,2,1,white or indigenous,yes,currently,4,Windows,Firefox,1920,1200,34,94,18,14,2,6,25,3,12
US,359,2,3,male,2,22,right,12,1,asian,no,never,3,Windows,Firefox,1920,1080,69,812,-1,12,13,18,20,-13,7
PL,236,4,3,male,2,23,right,6,1,white or indigenous,no,never,2,Windows,Firefox,1366,768,6,220,-10,7,5,24,19,-13,11
RO,206,4,3,female,2,30,right,7,1,white or indigenous,yes,never,1,Windows,Firefox,1920,1080,33,228,1,13,19,4,19,4,12
GB,233,2,1,female,1,17,left,1,2,white or indigenous,no,never,4,Linux,Chrome,320,534,25,329,-8,26,15,14,20,6,10
GB,125,3,2,male,2,22,right,2,1,white or indigenous,yes,never,2,Macintosh,Safari,1440,900,48,191,-11,13,13,8,19,2,9
GB,150,3,3,female,1,43,left,2,1,white or indigenous,no,currently,3,Macintosh,Firefox,1280,800,59,272,-10,17,20,9,14,13,12
PH,151,2,2,female,2,25,right,6,4,asian,yes,never,2,Macintosh,Safari,1440,900,3,152,2,24,12,0,18,2,5
CA,290,2,3,female,1,19,right,4,1,white or indigenous,no,never,4,Windows,Microsoft Internet Explorer,1366,768,5,220,3,18,20,24,26,-15,9
US,113,2,1,male,1,19,right,1,1,white or indigenous,yes,never,1,Macintosh,Chrome,1440,900,3,271,-9,22,3,6,24,4,2
NO,183,1,3,male,2,25,right,10,1,other,no,never,3,Windows,Chrome,1920,1200,4,200,13,10,20,7,27,-5,5
US,204,2,2,female,1,18,right,4,1,white or indigenous,no,never,5,Windows,Microsoft Internet Explorer,1280,800,7,203,-5,18,22,11,29,5,5
AU,345,2,2,female,1,18,right,2,1,white or indigenous,no,never,2,Windows,Firefox,1366,768,62,350,5,21,20,21,30,-7,8
US,194,3,3,female,2,47,right,8,1,other,no,currently,2,Windows,Chrome,1280,1024,6,223,3,12,24,8,22,-9,9
US,198,2,1,female,1,30,right,12,3,white or indigenous,no,currently,2,Linux,AndroidBrowser,480,800,6,256,-10,19,-2,-7,19,14,8
BH,313,2,3,female,2,20,right,0,0,arab,no,never,3,iOS,Safari,320,568,79,931,1,23,12,13,17,-1,5
SG,103,2,3,female,2,18,right,1,1,asian,no,never,2,Windows,Microsoft Internet Explorer,1518,853,7,119,-20,38,-14,0,9,11,7
AU,174,4,3,male,2,23,right,8,1,other,no,never,2,Macintosh,Chrome,1280,800,412,259,-10,21,19,-7,21,-2,5
EG,268,2,3,female,2,21,right,10,5,arab,yes,previously,3,Windows,Chrome,1366,768,9,512,-4,18,16,15,12,-1,4
IT,303,3,3,female,2,23,right,4,1,white or indigenous,yes,never,2,Windows,Chrome,1366,768,3,929,-2,22,13,2,24,5,12
NL,263,4,3,female,2,29,right,7,1,white or indigenous,yes,never,2,Windows,Chrome,1366,768,6,225,12,12,23,15,28,-15,8
US,128,3,2,female,1,20,right,2,1,white or indigenous,no,never,1,Windows,Chrome,1366,768,3,132,-8,29,14,4,15,5,5
US,130,3,3,female,1,42,right,1,1,white or indigenous,yes,previously,3,Windows,Chrome,1920,1080,7,158,6,20,17,17,32,-10,12
US,120,1,3,female,1,18,right,3,1,white or indigenous,no,never,2,ChromeOS,Chrome,1366,768,4,137,5,12,13,21,27,-4,5
US,150,2,3,female,1,17,right,1,1,white or indigenous,no,never,5,ChromeOS,Chrome,1366,768,8,208,2,32,7,8,20,3,10
US,131,2,2,male,1,18,right,7,2,white or indigenous,yes,never,2,ChromeOS,Chrome,1366,768,11,232,-4,20,21,2,30,-1,3
US,126,2,1,female,1,18,right,6,1,white or indigenous,no,never,5,ChromeOS,Chrome,1366,768,6,165,11,5,25,12,29,-10,0
US,98,2,2,female,1,17,right,4,1,white or indigenous,no,never,3,ChromeOS,Chrome,1366,768,8,147,8,15,20,8,18,-1,2
US,181,2,3,female,1,18,right,12,0,white or indigenous,no,never,3,ChromeOS,Chrome,1366,768,32,221,15,18,10,14,23,-11,5
US,167,2,1,male,1,18,right,6,1,white or indigenous,no,never,2,ChromeOS,Chrome,1366,768,4,199,11,14,18,12,16,-5,5
US,230,2,2,female,1,36,right,4,1,white or indigenous,no,currently,3,Windows,Microsoft Internet Explorer,1366,768,38,320,8,16,22,18,21,-9,1
US,117,1,3,male,1,18,right,5,1,white or indigenous,no,never,4,Windows,Chrome,1366,768,33,195,-4,7,16,14,19,-6,9
US,188,2,1,female,1,17,right,5,1,white or indigenous,no,never,2,Windows,Chrome,1920,1080,7,164,-11,28,12,2,21,-1,9
US,504,3,3,female,2,35,right,4,1,white or indigenous,yes,currently,4,Windows,Microsoft Internet Explorer,1920,1080,255,706,3,9,14,3,10,-4,11
US,106,4,1,male,1,39,right,2,1,white or indigenous,yes,currently,3,Macintosh,Chrome,1680,1050,3,150,4,15,5,8,22,7,10
TR,118,2,3,male,2,18,right,10,1,white or indigenous,no,never,1,Windows,Chrome,1366,768,8,217,9,12,18,4,26,12,8
BR,467,3,2,female,2,32,right,4,1,other,yes,currently,1,Windows,Chrome,1024,768,4,246,-13,26,11,7,25,4,11
US,128,2,2,male,1,17,right,3,1,asian,no,never,1,Macintosh,Firefox,1280,800,5,184,-13,21,6,11,19,-2,8
US,307,2,3,female,1,26,left,7,4,white or indigenous,no,currently,6,Windows,Microsoft Internet Explorer,1600,900,6,225,-10,22,24,21,14,-15,5
US,211,4,3,female,1,37,left,5,1,white or indigenous,yes,currently,3,Windows,Microsoft Internet Explorer,1152,720,28,283,0,14,17,14,21,-12,11
PH,178,2,1,other,2,19,right,4,5,asian,no,never,5,Windows,Chrome,1366,768,7,183,-10,30,12,4,21,4,9
GB,229,3,1,female,2,27,right,4,1,white or indigenous,no,never,3,Windows,Firefox,1366,768,5,230,10,12,21,16,32,-1,9
US,148,3,3,female,1,29,right,9,1,white or indigenous,yes,currently,2,Windows,Firefox,1280,720,12863,231,10,20,16,16,22,-10,9
US,715,2,2,female,1,48,right,7,1,black,yes,never,5,iOS,Safari,768,1024,18,346,-10,34,13,16,15,-10,7
US,226,2,0,male,1,30,right,7,0,black,yes,never,2,iOS,Safari,768,1024,8,232,-4,14,14,15,20,-5,4
US,226,2,3,male,1,17,right,4,1,other,no,never,4,iOS,Safari,768,1024,7,291,-12,30,6,0,12,3,7
US,390,3,1,female,1,38,right,4,1,asian,no,previously,2,Windows,Firefox,1366,768,4,211,16,19,22,17,32,-16,13
US,339,2,1,male,1,40,right,12,1,other,no,previously,3,Windows,Chrome,1600,900,6,582,-4,3,17,15,24,-5,11
CO,187,2,3,female,2,24,right,1,1,white or indigenous,yes,never,1,Windows,Chrome,1366,768,203,392,9,13,13,6,25,4,8
CA,197,2,1,male,1,22,right,6,1,white or indigenous,no,never,1,Linux,Chrome,360,640,7,412,5,25,13,7,26,1,4
ZA,122,3,3,male,1,21,right,1,1,asian,yes,never,2,Windows,Chrome,1600,1200,3,170,4,22,-13,-12,31,18,5
US,151,3,2,female,1,19,right,6,1,white or indigenous,no,never,2,Windows,Chrome,1366,768,5,174,9,21,22,19,29,-1,11
US,154,2,2,male,1,26,left,12,1,white or indigenous,no,never,4,Windows,Microsoft Internet Explorer,1600,900,10,154,-8,12,17,4,20,1,10
US,514,2,1,male,1,42,right,7,1,black,yes,currently,3,Windows,Chrome,1280,1024,9,221,12,2,4,18,25,-10,9
GB,2370,2,3,female,1,18,right,1,1,white or indigenous,no,never,1,Windows,Chrome,1366,768,3,168,-17,33,8,21,27,-5,10
US,163,2,2,female,1,18,right,6,0,NA,no,never,2,Windows,Chrome,1366,768,54,168,18,20,26,18,29,-10,5
GB,723,3,3,female,2,34,right,2,1,white or indigenous,no,never,2,Linux,Chrome,758,480,23,253,-12,26,2,13,16,4,8
US,185,1,1,male,1,18,right,7,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,7,232,7,5,16,22,24,-13,4
US,122,2,2,female,1,18,right,2,1,black,NA,never,3,Windows,Chrome,1366,768,4,102,6,20,17,12,19,1,10
GH,178,2,3,female,1,19,right,4,1,black,no,never,2,Unknown,Firefox,360,640,48,405,3,29,14,10,15,6,9
US,187,2,3,female,1,18,right,12,1,white or indigenous,no,never,4,Windows,Chrome,1280,1024,15,211,10,22,6,13,8,4,5
US,118,2,1,female,1,17,right,4,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,3,143,3,24,17,5,14,3,7
CA,231,2,1,male,1,54,right,7,1,white or indigenous,yes,currently,3,Windows,Chrome,1366,768,3,242,10,5,13,17,19,-17,5
US,196,1,2,male,1,18,right,6,1,white or indigenous,no,never,1,Windows,Chrome,1280,1024,10,284,-3,6,1,20,28,-10,12
CA,208,1,2,male,1,14,right,2,1,white or indigenous,no,never,2,Windows,Chrome,1366,768,44,367,-3,5,5,11,23,-5,0
US,179,1,1,female,1,17,right,0,2,white or indigenous,no,never,6,Windows,Microsoft Internet Explorer,1280,1024,17,262,-6,26,14,11,6,-12,8
US,190,1,1,female,1,18,right,4,1,other,yes,never,2,Windows,Microsoft Internet Explorer,1280,1024,22,207,-18,35,-6,12,22,-14,8
US,153,2,1,male,1,18,right,2,1,white or indigenous,no,never,3,Windows,Chrome,1280,1024,12,217,6,22,19,8,29,-4,4
US,321,1,1,male,1,17,right,7,1,white or indigenous,no,never,3,Windows,Chrome,1280,1024,19,215,9,10,16,14,20,-10,9
US,167,2,1,male,1,18,right,2,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,8,163,-16,7,-12,8,3,-7,10
US,286,1,1,male,1,18,left,4,1,white or indigenous,no,never,3,Windows,Chrome,1280,1024,4,254,16,1,16,11,21,-15,8
US,151,1,1,female,1,17,right,2,5,white or indigenous,no,never,2,Windows,Chrome,1280,1024,16,188,-4,25,20,8,30,9,7
US,160,1,2,female,1,17,right,6,1,white or indigenous,no,never,2,Windows,Chrome,1280,800,6,235,-9,27,22,10,25,6,6
US,152,2,1,female,1,18,right,4,0,white or indigenous,no,never,4,Windows,Chrome,1280,1024,8,182,4,16,16,10,9,-1,8
US,134,1,1,female,1,18,right,4,1,white or indigenous,no,never,2,Windows,Chrome,1280,1024,75,195,-9,24,16,3,10,-2,10
US,192,2,1,female,1,18,right,4,1,white or indigenous,yes,never,1,Windows,Chrome,1280,1024,18,267,5,23,20,18,21,-10,10
US,196,3,1,male,1,24,right,2,1,white or indigenous,no,never,1,Windows,Chrome,1366,768,6,228,-11,21,13,20,32,-2,13
CA,159,2,3,female,1,24,right,7,3,white or indigenous,no,never,2,Windows,Firefox,1024,768,854,255,15,18,24,19,23,-5,8
US,190,3,2,female,1,64,right,4,1,white or indigenous,no,previously,4,Macintosh,Safari,1280,800,51,240,6,20,19,15,29,-5,9
US,113,3,3,female,1,21,right,12,2,white or indigenous,no,never,2,Macintosh,Safari,1280,800,23,111,9,26,20,8,25,-10,9
US,136,3,3,male,1,23,right,4,1,other,no,never,2,Windows,Chrome,1366,768,4,217,6,15,14,2,19,6,8
GB,314,1,2,male,1,15,right,2,3,white or indigenous,no,never,2,Windows,Chrome,1366,768,23,358,9,10,20,21,28,-16,1
NL,305,4,3,female,2,25,right,10,1,other,yes,never,4,Windows,Chrome,1366,768,71,359,5,11,16,14,26,-8,10
EU,267,4,3,female,2,47,right,7,1,black,yes,currently,7,Unknown,Opera,228,282,55,241,-6,6,18,22,23,-17,8
US,223,3,2,female,1,52,both,1,1,white or indigenous,yes,currently,1,Macintosh,Safari,1280,800,22,224,5,8,23,15,22,-11,8
CA,134,2,2,female,1,33,right,7,1,white or indigenous,no,previously,3,Windows,Microsoft Internet Explorer,1920,1080,54,141,5,1,26,19,16,-12,8
GB,181,3,2,female,1,22,right,2,1,white or indigenous,no,never,2,Windows,Chrome,1366,768,4,207,-13,31,20,0,12,3,5
US,181,3,2,female,2,25,right,4,1,white or indigenous,no,currently,2,Windows,Microsoft Internet Explorer,1438,808,47,193,-6,32,13,18,28,-3,7
US,169,1,2,female,1,17,right,2,5,white or indigenous,no,never,1,Macintosh,Chrome,1920,1080,104,418,9,24,21,25,25,-10,11
US,170,4,2,female,1,32,left,2,5,white or indigenous,yes,currently,3,Windows,Chrome,1280,720,7,177,12,21,25,8,29,-9,5
US,162,1,2,male,1,16,left,4,1,white or indigenous,no,never,3,Macintosh,Safari,1920,1080,290,290,13,7,19,11,30,-4,3
US,189,2,2,male,1,18,right,4,1,white or indigenous,no,never,3,Macintosh,Safari,1920,1080,8,254,-17,17,17,3,28,-6,1
US,140,2,3,male,1,17,right,4,1,asian,no,never,2,Macintosh,Chrome,1920,1080,50,309,-7,18,16,3,23,4,7
