Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (oz.),Right amount (oz.),Total amount (oz.),Note
"1/13/18, 15:45",,,,,,,1
"1/13/18, 08:30",,,,,,,2
"1/12/18, 17:53",,,,,,,1
"1/12/18, 08:30",,,,,,,3.5
"1/11/18, 20:00",,,,,,,1.5
"1/11/18, 07:30",,,,,,,2
"1/10/18, 08:30",,,,,,,2.5
"1/9/18, 06:33",,,,,,,4
"1/8/18, 21:00",,,,,,,2
"1/7/18, 21:00",,,,,,,2.5
"1/7/18, 13:51",,,,,,,2
"1/7/18, 08:17",,,,,,,3
"1/6/18, 22:26",,,,,,,2.5
"1/6/18, 09:42",,,,,,,4
"1/5/18, 20:45",,,,,,,2
"1/4/18, 21:30",,,,,,,2
"1/4/18, 08:08",,,,,,,2.5
"1/3/18, 22:16",,,,,,,2
"1/3/18, 08:09",,,,,,,2.5
"1/2/18, 21:56",,,,,,,2.25
"1/2/18, 07:15",,,,,,,2.5
"1/1/18, 20:18",,,,,,,1.5
"1/1/18, 08:21",,,,,,,4
"12/31/17, 22:21",,,,,,,1
"12/31/17, 10:44",,,,,,,3
