subject,trialNumber,product_A,product_B,response,attention
sona-26670,10,lipstick,earrings,866,0
sona-26670,11,sunglasses,wallet,1,0
sona-26670,12,earrings,paper notebook,1,0
sona-26670,13,athletic clothes,bicycle,1,0
sona-26670,14,yoga mat,video games,985,0
sona-26670,15,pencil,wallet,896,0
sona-26670,16,jacket,scarf,1,0
sona-26670,17,yoga mat,headphones,934,0
sona-26670,18,camera,pencil,1,1
sona-26670,19,basketball,tie,972,0
sona-26670,20,detergent,granola bar,999,0
sona-26670,21,jacket,earrings,959,0
sona-26670,22,skateboard,car,961,0
sona-26670,23,car,scarf,1,0
sona-26670,24,athletic clothes,baseball cap,1,0
sona-26670,25,concert tickets,makeup foundation,1,0
sona-26670,26,cooking pot,wine,991,0
sona-26670,27,desktop computer,socks,1,0
sona-26670,28,coffee,athletic clothes,878,0
sona-26670,29,desktop computer,swimming suit,960,0
sona-26670,30,skateboard,earrings,1e3,0
sona-26670,31,wine,makeup foundation,1,0
sona-26670,32,backpack,napkin,1,0
sona-26670,33,granola bar,swimming suit,977,0
sona-26670,34,cooking pot,sunglasses,961,0
sona-26670,35,yoga mat,pencil,1e3,0
sona-26670,36,desktop computer,camera,920,1
sona-26670,37,camera,jacket,929,0
sona-26670,38,wallet,shirt,935,0
sona-26670,39,skateboard,books,1,0
sona-26670,40,granola bar,pen,60,0
sona-26670,41,yoga mat,ring,1e3,0
sona-26670,42,tie,baseball cap,1,0
sona-26670,43,lipstick,beanie,1,0
sona-26670,44,books,earrings,1e3,0
sona-26670,45,yoga mat,shirt,1e3,0
sona-26670,46,napkin,books,860,0
sona-26670,47,napkin,wine,953,0
sona-26670,48,concert tickets,jacket,1,0
sona-26670,49,chocolate,baseball cap,900,0
sona-26670,50,laptop,swimming suit,46,0
sona-26670,51,earphones,paper notebook,2,0
sona-26670,52,shoes,swimming suit,1,0
sona-26670,53,basketball,paper notebook,1,0
sona-26670,54,watch,swimming suit,1,0
sona-26660,0,glasses,books,1,0
sona-26660,1,backpack,cooking pot,1,0
sona-26660,2,pencil,pants,1,0
sona-26660,3,sunglasses,earrings,1,0
sona-26660,4,calculator,scarf,1,0
sona-26660,5,laptop,yoga mat,1,0
sona-26660,6,calculator,shirt,1e3,0
sona-26660,7,earphones,smart phone,1,0
sona-26660,8,makeup foundation,wallet,1e3,0
sona-26660,9,napkin,detergent,1,0
sona-26660,10,laptop,chocolate,1,0
sona-26660,11,desktop computer,wallet,1,0
sona-26660,12,sunglasses,watch,1e3,0
sona-26660,13,yoga mat,beanie,990,0
sona-26660,14,headphones,books,1,0
sona-26660,15,paper notebook,guitar,1,0
sona-26660,16,yoga mat,headphones,1e3,0
sona-26660,17,calculator,yoga mat,1,0
sona-26660,18,dress,chocolate,1e3,1
sona-26660,19,car,jacket,1,0
sona-26660,20,sunglasses,makeup foundation,1,0
sona-26660,21,camera,beanie,1e3,0
sona-26660,22,napkin,yoga mat,1,0
sona-26660,23,napkin,computer keyboard,1e3,0
sona-26660,24,purse,jacket,1e3,0
sona-26660,25,lipstick,water bottle,1e3,0
sona-26660,26,athletic clothes,pants,1,0
sona-26660,27,socks,beanie,1,0
sona-26660,28,calculator,swimming suit,1e3,0
sona-26660,29,paper notebook,band-aid,1,0
sona-26660,30,necklace,basketball,1,0
sona-26660,31,dishes,beanie,1e3,0
sona-26660,32,calculator,shoes,1e3,0
sona-26660,33,necklace,earphones,1e3,0
sona-26660,34,guitar,books,129,0
sona-26660,35,ring,books,252,0
sona-26660,36,computer keyboard,basketball,776,1
sona-26660,37,skateboard,coffee,318,0
sona-26660,38,wallet,cooking pot,327,0
sona-26660,39,computer keyboard,baseball cap,739,0
sona-26660,40,granola bar,wine,759,0
sona-26660,41,dress,shoes,840,0
sona-26660,42,chocolate,headphones,883,0
sona-26660,43,computer keyboard,guitar,725,0
sona-26660,44,necklace,computer keyboard,270,0
sona-26660,45,athletic clothes,cooking pot,266,0
sona-26660,46,desktop computer,sunglasses,850,0
sona-26660,47,napkin,pen,604,0
sona-26660,48,concert tickets,laptop,617,0
sona-26660,49,guitar,earphones,600,0
sona-26660,50,dishes,bicycle,385,0
sona-26660,51,lipstick,wine,597,0
sona-26660,52,skateboard,baseball cap,363,0
sona-26660,53,ring,jacket,642,0
sona-26660,54,water bottle,yoga mat,317,0
sona-26659,0,yoga mat,swimming suit,846,0
sona-26659,1,makeup foundation,wallet,800,0
sona-26659,2,napkin,water bottle,869,0
sona-26659,3,dress,shirt,224,0
sona-26659,4,shirt,video games,826,0
sona-26659,5,headphones,jacket,162,0
sona-26659,6,scarf,baseball cap,230,0
sona-26659,7,dress,napkin,203,0
sona-26659,8,skateboard,pencil,177,0
sona-26659,9,dress,ring,916,0
sona-26659,10,napkin,baseball cap,956,0
sona-26659,11,pants,coffee,923,0
sona-26659,12,computer keyboard,beanie,840,0
sona-26659,13,camera,shirt,92,0
sona-26659,14,tie,computer keyboard,105,0
sona-26659,15,earrings,tie,98,0
sona-26659,16,lipstick,shoes,921,0
sona-26659,17,basketball,water bottle,835,0
sona-26659,18,shirt,smart phone,898,1
sona-26659,19,necklace,wine,126,0
sona-26659,20,lipstick,water bottle,916,0
sona-26659,21,earphones,athletic clothes,890,0
sona-26659,22,computer keyboard,laptop,829,0
sona-26659,23,smart phone,concert tickets,164,0
sona-26659,24,computer keyboard,purse,921,0
sona-26659,25,watch,beanie,127,0
sona-26659,26,scarf,band-aid,128,0
sona-26659,27,wine,earphones,84,0
sona-26659,28,yoga mat,desktop computer,861,0
sona-26659,29,scarf,pencil,74,0
sona-26659,30,calculator,water bottle,870,0
sona-26659,31,detergent,books,840,0
sona-26659,32,headphones,wine,863,0
sona-26659,33,video games,pencil,102,0
sona-26659,34,headphones,necklace,877,0
sona-26659,35,smart phone,sunglasses,169,0
sona-26659,36,shirt,car,921,1
sona-26659,37,skateboard,water bottle,127,0
sona-26659,38,calculator,yoga mat,104,0
sona-26659,39,camera,water bottle,119,0
sona-26659,40,wine,makeup foundation,94,0
sona-26659,41,paper notebook,video games,886,0
sona-26659,42,coffee,scarf,806,0
sona-26659,43,backpack,shirt,113,0
sona-26659,44,water bottle,pencil,124,0
sona-26659,45,pen,athletic clothes,871,0
sona-26659,46,ring,purse,111,0
sona-26659,47,pen,yoga mat,883,0
sona-26659,48,granola bar,makeup foundation,857,0
sona-26659,49,paper notebook,concert tickets,876,0
sona-26659,50,detergent,wine,884,0
sona-26659,51,earrings,socks,97,0
sona-26659,52,chocolate,sunglasses,876,0
sona-26659,53,concert tickets,video games,851,0
sona-26659,54,camera,lipstick,112,0
sona-26627,0,coffee,detergent,1,0
sona-26627,1,dishes,paper notebook,1,0
sona-26627,2,computer keyboard,video games,1e3,0
sona-26627,3,bicycle,athletic clothes,1e3,0
sona-26627,4,laptop,makeup foundation,1e3,0
sona-26627,5,calculator,shirt,1e3,0
sona-26627,6,beanie,athletic clothes,1e3,0
sona-26627,7,guitar,athletic clothes,1e3,0
sona-26627,8,car,swimming suit,1,0
sona-26627,9,desktop computer,guitar,1,0
sona-26627,10,basketball,bicycle,1e3,0
sona-26627,11,makeup foundation,beanie,1,0
sona-26627,12,pencil,athletic clothes,1e3,0
sona-26627,13,yoga mat,ring,1e3,0
sona-26627,14,desktop computer,beanie,1e3,0
sona-26627,15,wine,video games,1,0
sona-26627,16,basketball,beanie,1e3,0
sona-26627,17,earrings,laptop,1,0
sona-26627,18,video games,bicycle,1,1
sona-26627,19,makeup foundation,granola bar,1,0
sona-26627,20,water bottle,dishes,1e3,0
sona-26627,21,lipstick,computer keyboard,1,0
sona-26627,22,pencil,guitar,1e3,0
sona-26627,23,guitar,bicycle,1,0
sona-26627,24,water bottle,athletic clothes,1e3,0
sona-26627,25,coffee,water bottle,1,0
sona-26627,26,guitar,beanie,1,0
sona-26627,27,video games,paper notebook,1,0
sona-26627,28,yoga mat,car,1e3,0
sona-26627,29,granola bar,beanie,1e3,0
sona-26627,30,granola bar,basketball,1e3,0
sona-26627,31,desktop computer,pants,1e3,0
sona-26627,32,swimming suit,guitar,1,0
sona-26627,33,pen,swimming suit,1e3,0
sona-26627,34,jacket,guitar,1,0
sona-26627,35,shirt,makeup foundation,1,0
sona-26627,36,wine,basketball,1e3,1
sona-26627,37,calculator,tie,1e3,0
sona-26627,38,watch,headphones,1,0
sona-26627,39,skateboard,bicycle,1,0
sona-26627,40,band-aid,necklace,1e3,0
sona-26627,41,concert tickets,headphones,1,0
sona-26627,42,coffee,swimming suit,1,0
sona-26627,43,paper notebook,makeup foundation,1e3,0
sona-26627,44,camera,makeup foundation,1e3,0
sona-26627,45,calculator,coffee,1e3,0
sona-26627,46,guitar,granola bar,1,0
sona-26627,47,scarf,bicycle,1,0
sona-26627,48,napkin,pen,1e3,0
sona-26627,49,detergent,dress,1e3,0
sona-26627,50,books,watch,1e3,0
sona-26627,51,dishes,granola bar,1,0
sona-26627,52,pencil,swimming suit,1e3,0
sona-26627,53,computer keyboard,beanie,1e3,0
sona-26627,54,swimming suit,granola bar,1,0
sona-26608,0,books,lipstick,846,0
sona-26608,1,baseball cap,skateboard,380,0
sona-26608,2,beanie,shoes,650,0
sona-26608,3,granola bar,purse,888,0
sona-26608,4,calculator,wallet,675,0
sona-26608,5,headphones,scarf,284,0
sona-26608,6,video games,desktop computer,266,0
sona-26608,7,makeup foundation,earrings,798,0
sona-26608,8,baseball cap,pencil,224,0
sona-26608,9,tie,scarf,248,0
sona-26608,10,pants,necklace,276,0
sona-26608,11,calculator,camera,790,0
sona-26608,12,band-aid,books,754,0
sona-26608,13,backpack,computer keyboard,217,0
sona-26608,14,coffee,wine,245,0
sona-26608,15,books,pen,225,0
sona-26608,16,backpack,lipstick,786,0
sona-26608,17,concert tickets,desktop computer,280,0
sona-26608,18,tie,coffee,684,1
sona-26608,19,earphones,necklace,185,0
sona-26608,20,backpack,pen,296,0
sona-26608,21,pen,lipstick,824,0
sona-26608,22,sunglasses,backpack,207,0
sona-26608,23,water bottle,camera,767,0
sona-26608,24,tie,purse,849,0
sona-26608,25,swimming suit,laptop,276,0
sona-26608,26,guitar,camera,165,0
sona-26608,27,dishes,basketball,338,0
sona-26608,28,wallet,lipstick,229,0
sona-26608,29,dishes,earrings,752,0
sona-26608,30,purse,computer keyboard,320,0
sona-26608,31,band-aid,chocolate,760,0
sona-26608,32,smart phone,wine,282,0
sona-26608,33,car,lipstick,206,0
sona-26608,34,baseball cap,camera,218,0
sona-26608,35,napkin,headphones,751,0
sona-26608,36,necklace,desktop computer,266,1
sona-26608,37,dress,guitar,128,0
sona-26608,38,swimming suit,watch,278,0
sona-26608,39,basketball,cooking pot,697,0
sona-26608,40,jacket,beanie,245,0
sona-26608,41,swimming suit,calculator,211,0
sona-26608,42,books,shirt,836,0
sona-26608,43,baseball cap,pants,764,0
sona-26608,44,earphones,sunglasses,773,0
sona-26608,45,earphones,computer keyboard,260,0
sona-26608,46,jacket,socks,239,0
sona-26608,47,dishes,napkin,188,0
sona-26608,48,dishes,purse,745,0
sona-26608,49,tie,napkin,238,0
sona-26608,50,athletic clothes,paper notebook,264,0
sona-26608,51,purse,pen,250,0
sona-26608,52,napkin,cooking pot,327,0
sona-26608,53,makeup foundation,shirt,282,0
sona-26608,54,guitar,pencil,192,0
sona-26607,0,paper notebook,earrings,675,0
sona-26607,1,chocolate,paper notebook,645,0
sona-26607,2,makeup foundation,dishes,214,0
sona-26607,3,yoga mat,band-aid,211,0
sona-26607,4,watch,books,218,0
sona-26607,5,bicycle,guitar,564,0
sona-26607,6,pen,computer keyboard,370,0
sona-26607,7,makeup foundation,ring,853,0
sona-26607,8,sunglasses,coffee,206,0
sona-26607,9,chocolate,video games,326,0
sona-26607,10,car,tie,162,0
sona-26607,11,lipstick,guitar,396,0
sona-26607,12,concert tickets,napkin,279,0
sona-26607,13,sunglasses,band-aid,222,0
sona-26607,14,chocolate,earphones,79,0
sona-26607,15,wine,computer keyboard,77,0
sona-26607,16,guitar,computer keyboard,294,0
sona-26607,17,socks,video games,941,0
sona-26607,18,wallet,pen,1e3,1
sona-26607,19,backpack,books,835,0
sona-26607,20,wallet,napkin,175,0
sona-26607,21,sunglasses,earrings,846,0
sona-26607,22,video games,headphones,623,0
sona-26607,23,glasses,dress,899,0
sona-26607,24,chocolate,smart phone,902,0
sona-26607,25,shirt,dishes,90,0
sona-26607,26,makeup foundation,earphones,192,0
sona-26607,27,desktop computer,bicycle,708,0
sona-26607,28,pants,earphones,251,0
sona-26607,29,cooking pot,desktop computer,327,0
sona-26607,30,coffee,granola bar,775,0
sona-26607,31,books,dress,453,0
sona-26607,32,scarf,guitar,771,0
sona-26607,33,earrings,glasses,196,0
sona-26607,34,detergent,glasses,802,0
sona-26607,35,beanie,car,924,0
sona-26607,36,cooking pot,dishes,690,1
sona-26607,37,basketball,dress,630,0
sona-26607,38,shirt,desktop computer,360,0
sona-26607,39,concert tickets,baseball cap,337,0
sona-26607,40,dress,jacket,352,0
sona-26607,41,necklace,purse,475,0
sona-26607,42,yoga mat,pants,306,0
sona-26607,43,desktop computer,dress,731,0
sona-26607,44,basketball,jacket,397,0
sona-26607,45,water bottle,concert tickets,764,0
sona-26607,46,baseball cap,basketball,721,0
sona-26607,47,tie,dress,320,0
sona-26607,48,earphones,jacket,692,0
sona-26607,49,pants,granola bar,681,0
sona-26607,50,coffee,dress,862,0
sona-26607,51,desktop computer,jacket,755,0
sona-26607,52,wallet,scarf,283,0
sona-26607,53,granola bar,headphones,695,0
sona-26607,54,lipstick,earrings,690,0
sona-26591,0,water bottle,coffee,199,0
sona-26591,1,coffee,cooking pot,314,0
sona-26591,2,dishes,smart phone,649,0
sona-26591,3,makeup foundation,smart phone,393,0
sona-26591,4,chocolate,cooking pot,426,0
sona-26591,5,car,shoes,930,0
sona-26591,6,lipstick,backpack,698,0
sona-26591,7,glasses,backpack,120,0
sona-26591,8,earphones,smart phone,334,0
sona-26591,9,wine,cooking pot,425,0
sona-26591,10,books,computer keyboard,373,0
sona-26591,11,shirt,pencil,279,0
sona-26591,12,calculator,purse,727,0
sona-26591,13,calculator,socks,695,0
sona-26591,14,earrings,necklace,383,0
sona-26591,15,pencil,concert tickets,737,0
sona-26591,16,paper notebook,baseball cap,665,0
sona-26591,17,cooking pot,dress,679,0
sona-26591,18,wallet,athletic clothes,1e3,1
sona-26591,19,basketball,concert tickets,627,0
sona-26591,20,athletic clothes,concert tickets,640,0
sona-26591,21,socks,smart phone,600,0
sona-26591,22,tie,earphones,671,0
sona-26591,23,purse,beanie,334,0
sona-26591,24,ring,guitar,383,0
sona-26591,25,pencil,baseball cap,609,0
sona-26591,26,concert tickets,necklace,368,0
sona-26591,27,shirt,guitar,365,0
sona-26591,28,sunglasses,skateboard,48,0
sona-26591,29,pen,wine,237,0
sona-26591,30,camera,guitar,575,0
sona-26591,31,athletic clothes,necklace,522,0
sona-26591,32,pants,backpack,570,0
sona-26591,33,yoga mat,wine,577,0
sona-26591,34,purse,bicycle,383,0
sona-26591,35,band-aid,dress,609,0
sona-26591,36,ring,skateboard,1e3,1
sona-26591,37,paper notebook,napkin,441,0
sona-26591,38,glasses,basketball,443,0
sona-26591,39,basketball,camera,576,0
sona-26591,40,purse,earrings,587,0
sona-26591,41,pen,concert tickets,589,0
sona-26591,42,wine,skateboard,377,0
sona-26591,43,books,bicycle,454,0
sona-26591,44,jacket,napkin,429,0
sona-26591,45,yoga mat,watch,567,0
sona-26591,46,athletic clothes,bicycle,610,0
sona-26591,47,lipstick,pen,655,0
sona-26591,48,athletic clothes,guitar,584,0
sona-26591,49,coffee,bicycle,625,0
sona-26591,50,shirt,laptop,399,0
sona-26591,51,paper notebook,smart phone,378,0
sona-26591,52,detergent,dress,698,0
sona-26591,53,pencil,makeup foundation,671,0
sona-26591,54,purse,athletic clothes,394,0
sona-26580,0,sunglasses,coffee,739,0
sona-26580,1,purse,headphones,280,0
sona-26580,2,headphones,wine,1e3,0
sona-26580,3,calculator,earphones,844,0
sona-26580,4,swimming suit,earphones,303,0
sona-26580,5,sunglasses,necklace,548,0
sona-26580,6,car,necklace,35,0
sona-26580,7,backpack,coffee,876,0
sona-26580,8,ring,necklace,97,0
sona-26580,9,wallet,pen,47,0
sona-26580,10,dishes,coffee,846,0
sona-26580,11,lipstick,paper notebook,80,0
sona-26580,12,earrings,pen,83,0
sona-26580,13,shoes,napkin,104,0
sona-26580,14,guitar,necklace,821,0
sona-26580,15,makeup foundation,scarf,168,0
sona-26580,16,athletic clothes,guitar,61,0
sona-26580,17,shirt,athletic clothes,882,0
sona-26580,18,makeup foundation,granola bar,24,1
sona-26580,19,glasses,backpack,433,0
sona-26580,20,swimming suit,glasses,203,0
sona-26580,21,wine,dishes,177,0
sona-26580,22,shirt,desktop computer,319,0
sona-26580,23,band-aid,jacket,744,0
sona-26580,24,tie,camera,700,0
sona-26580,25,glasses,dishes,343,0
sona-26580,26,headphones,granola bar,215,0
sona-26580,27,sunglasses,jacket,718,0
sona-26580,28,pants,laptop,291,0
sona-26580,29,guitar,jacket,734,0
sona-26580,30,baseball cap,necklace,613,0
sona-26580,31,purse,socks,219,0
sona-26580,32,chocolate,makeup foundation,1e3,0
sona-26580,33,granola bar,dishes,487,0
sona-26580,34,cooking pot,athletic clothes,1e3,0
sona-26580,35,laptop,jacket,456,0
sona-26580,36,cooking pot,pen,492,1
sona-26580,37,concert tickets,smart phone,677,0
sona-26580,38,pants,napkin,240,0
sona-26580,39,basketball,calculator,1,0
sona-26580,40,glasses,coffee,579,0
sona-26580,41,desktop computer,glasses,583,0
sona-26580,42,pants,baseball cap,1,0
sona-26580,43,earrings,coffee,378,0
sona-26580,44,baseball cap,napkin,294,0
sona-26580,45,baseball cap,jacket,611,0
sona-26580,46,granola bar,calculator,378,0
sona-26580,47,athletic clothes,calculator,1,0
sona-26580,48,camera,desktop computer,335,0
sona-26580,49,headphones,earphones,394,0
sona-26580,50,smart phone,backpack,236,0
sona-26580,51,desktop computer,dishes,341,0
sona-26580,52,wallet,jacket,640,0
sona-26580,53,dress,necklace,64,0
sona-26580,54,beanie,camera,560,0
sona-26567,0,socks,scarf,1e3,0
sona-26567,1,socks,glasses,920,0
sona-26567,2,purse,napkin,1,0
sona-26567,3,band-aid,makeup foundation,736,0
sona-26567,4,shirt,smart phone,855,0
sona-26567,5,sunglasses,dress,835,0
sona-26567,6,cooking pot,swimming suit,1e3,0
sona-26567,7,yoga mat,cooking pot,453,0
sona-26567,8,shoes,makeup foundation,622,0
sona-26567,9,basketball,baseball cap,669,0
sona-26567,10,glasses,books,240,0
sona-26567,11,scarf,dress,1e3,0
sona-26567,12,dress,earphones,11,0
sona-26567,13,car,desktop computer,1,0
sona-26567,14,skateboard,makeup foundation,955,0
sona-26567,15,laptop,smart phone,1e3,0
sona-26567,16,chocolate,baseball cap,56,0
sona-26567,17,wine,bicycle,1,0
sona-26567,18,athletic clothes,baseball cap,1e3,1
sona-26567,19,ring,chocolate,1,0
sona-26567,20,water bottle,dress,1e3,0
sona-26567,21,water bottle,basketball,295,0
sona-26567,22,pen,coffee,837,0
sona-26567,23,scarf,detergent,240,0
sona-26567,24,concert tickets,band-aid,256,0
sona-26567,25,books,band-aid,824,0
sona-26567,26,wallet,jacket,857,0
sona-26567,27,car,granola bar,1,0
sona-26567,28,glasses,car,1e3,0
sona-26567,29,necklace,pencil,1,0
sona-26567,30,napkin,tie,1e3,0
sona-26567,31,backpack,scarf,1e3,0
sona-26567,32,concert tickets,car,788,0
sona-26567,33,pen,makeup foundation,1e3,0
sona-26567,34,pencil,pen,1e3,0
sona-26567,35,pants,glasses,1,0
sona-26567,36,headphones,granola bar,222,1
sona-26567,37,headphones,makeup foundation,826,0
sona-26567,38,napkin,lipstick,902,0
sona-26567,39,books,granola bar,863,0
sona-26567,40,concert tickets,desktop computer,156,0
sona-26567,41,bicycle,detergent,83,0
sona-26567,42,wine,pen,1,0
sona-26567,43,band-aid,sunglasses,737,0
sona-26567,44,skateboard,granola bar,248,0
sona-26567,45,shoes,car,1e3,0
sona-26567,46,dishes,swimming suit,1e3,0
sona-26567,47,pants,cooking pot,83,0
sona-26567,48,glasses,granola bar,209,0
sona-26567,49,purse,desktop computer,218,0
sona-26567,50,tie,concert tickets,757,0
sona-26567,51,pants,baseball cap,234,0
sona-26567,52,necklace,tie,203,0
sona-26567,53,laptop,sunglasses,796,0
sona-26567,54,smart phone,cooking pot,220,0
sona-26257,0,watch,laptop,998,0
sona-26257,1,dress,pants,1,0
sona-26257,2,wine,bicycle,1e3,1
sona-26257,3,shoes,guitar,184,0
sona-26257,4,computer keyboard,earrings,810,0
sona-26257,5,shoes,pants,217,0
sona-26257,6,shoes,yoga mat,196,0
sona-26257,7,shirt,concert tickets,189,0
sona-26257,8,wine,sunglasses,179,0
sona-26257,9,dishes,lipstick,261,0
sona-26257,10,shoes,band-aid,247,0
sona-26257,11,pants,paper notebook,262,0
sona-26257,12,baseball cap,earrings,146,0
sona-26257,13,wallet,headphones,810,0
sona-26257,14,wine,books,781,0
sona-26257,15,cooking pot,pants,717,0
sona-26257,16,water bottle,beanie,823,0
sona-26257,17,headphones,video games,173,0
sona-26257,18,socks,paper notebook,192,1
sona-26257,19,socks,desktop computer,745,0
sona-26257,20,dress,napkin,193,0
sona-26257,21,camera,purse,716,0
sona-26257,22,desktop computer,backpack,784,0
sona-26257,23,socks,concert tickets,233,0
sona-26257,24,ring,detergent,272,0
sona-26257,25,pencil,backpack,790,0
sona-26257,26,purse,granola bar,215,0
sona-26257,27,desktop computer,granola bar,329,0
sona-26257,28,sunglasses,concert tickets,308,0
sona-26257,29,camera,water bottle,308,0
sona-26257,30,camera,granola bar,320,0
sona-26257,31,water bottle,pen,699,0
sona-26257,32,pants,concert tickets,234,0
sona-26257,33,necklace,baseball cap,610,0
sona-26257,34,tie,pencil,273,0
sona-26257,35,dress,smart phone,190,0
sona-26257,36,wine,bicycle,231,1
sona-26257,37,earphones,baseball cap,670,0
sona-26257,38,athletic clothes,shirt,177,0
sona-26257,39,shirt,beanie,221,0
sona-26257,40,chocolate,beanie,677,0
sona-26257,41,ring,beanie,664,0
sona-26257,42,swimming suit,computer keyboard,250,0
sona-26257,43,watch,bicycle,700,0
sona-26257,44,lipstick,computer keyboard,646,0
sona-26257,45,basketball,car,694,0
sona-26257,46,books,beanie,679,0
sona-26257,47,water bottle,concert tickets,692,0
sona-26257,48,basketball,beanie,678,0
sona-26257,49,shoes,skateboard,279,0
sona-26257,50,guitar,detergent,391,0
sona-26257,51,dishes,camera,271,0
sona-26257,52,guitar,concert tickets,113,0
sona-26257,53,tie,napkin,322,0
sona-26257,54,purse,pencil,77,0
sona-25901,0,glasses,napkin,263,0
sona-25901,1,calculator,smart phone,761,0
sona-25901,2,guitar,baseball cap,579,0
sona-25901,3,desktop computer,cooking pot,273,0
sona-25901,4,sunglasses,backpack,716,0
sona-25901,5,napkin,makeup foundation,696,0
sona-25901,6,earrings,necklace,746,0
sona-25901,7,paper notebook,band-aid,232,0
sona-25901,8,pencil,watch,722,0
sona-25901,9,calculator,shoes,978,0
sona-25901,10,athletic clothes,napkin,78,0
sona-25901,11,skateboard,ring,856,0
sona-25901,12,tie,bicycle,666,0
sona-25901,13,purse,guitar,236,0
sona-25901,14,purse,wine,307,0
sona-25901,15,calculator,athletic clothes,822,0
sona-25901,16,calculator,napkin,430,0
sona-25901,17,chocolate,skateboard,738,0
sona-25901,18,lipstick,water bottle,416,1
sona-25901,19,wallet,basketball,312,0
sona-25901,20,water bottle,yoga mat,701,0
sona-25901,21,books,chocolate,249,0
sona-25901,22,calculator,chocolate,559,0
sona-25901,23,socks,swimming suit,761,0
sona-25901,24,scarf,pen,334,0
sona-25901,25,books,dishes,641,0
sona-25901,26,paper notebook,backpack,715,0
sona-25901,27,shirt,sunglasses,201,0
sona-25901,28,scarf,computer keyboard,500,0
sona-25901,29,wallet,swimming suit,755,0
sona-25901,30,headphones,athletic clothes,780,0
sona-25901,31,earphones,basketball,436,0
sona-25901,32,dress,computer keyboard,268,0
sona-25901,33,chocolate,coffee,665,0
sona-25901,34,calculator,paper notebook,689,0
sona-25901,35,headphones,backpack,762,0
sona-25901,36,detergent,cooking pot,456,1
sona-25901,37,glasses,dress,776,0
sona-25901,38,desktop computer,watch,432,0
sona-25901,39,swimming suit,baseball cap,293,0
sona-25901,40,books,headphones,379,0
sona-25901,41,pen,swimming suit,889,0
sona-25901,42,desktop computer,computer keyboard,325,0
sona-25901,43,video games,makeup foundation,694,0
sona-25901,44,tie,laptop,641,0
sona-25901,45,tie,basketball,723,0
sona-25901,46,paper notebook,concert tickets,607,0
sona-25901,47,tie,water bottle,547,0
sona-25901,48,skateboard,napkin,291,0
sona-25901,49,pants,makeup foundation,311,0
sona-25901,50,beanie,cooking pot,278,0
sona-25901,51,video games,jacket,680,0
sona-25901,52,tie,sunglasses,672,0
sona-25901,53,purse,skateboard,279,0
sona-25901,54,lipstick,earrings,390,0
sona-25765,0,necklace,skateboard,1e3,0
